Name,Academic Position,Department,Network Node Width,Research Interests,Project
Elena Catelli,Full Professor,DIMEVET,1,"Domestic-wild bird interface and avian influenza, Inflammation mediators in poultry infections",
Giulia Mescolini,Contract Professor,DIMEVET,6,"Virus bioinformatics, Molecular diagnostics",
Caterina Lupini,Associate Professor,DIMEVET,2,"Avian vaccines, Immunosuppressive diseases of birds, Respiratory diseases of birds, Viral neoplastic diseases of birds, Recombinant vaccines, Molecular epidemiology",
Zelan Li,Research Fellow,Chemstry Dep,4,"Heritage Science, Imaging, Chemiometria, Data Processing, Spettroscopy",
Valentina Orioli,Associate Professor,Architecture Dep,2,"Municipal urban planning, Local government, Detailed plan, Metropolitan city, Tourism, Colonies, Social housing, Urban regeneration, Public space, Urban project, Mobility, Urban agriculture",CARTA
Altea Panebianco,Didactic Tutor,Architecture Dep,8,Urban policy,CARTA
Martina Massari,Temporary Researcher,Architecture Department,5,"Social innovation, Active and fair mobility, Urban innovation, Territorial regeneration, Energy citizenship","CARTA, HouseInc"
Francesca Sabatini,Research Fellow,Architecture Dep,4,"Migration, Culture economics, Commons, Urbanistics, Urban planning","TRACE, HouseInc"
Marco Puleri,Associate Professor,SPS,2,"Nation Building, National ideologies, Migration and Conflicts","DIMEast, GEO-POWER-EU"
Gastone Castellani,Full Professor,DIMEC,1,AI for medical solutions,
Nico Curti,Temporary Researcher,DIFA,5," deep learning, classifier, network, mRNA, DNA, Sociology, Complex, C++, Python, Matlab, Pipeline, Optimization, WSI",
Annalisa Astolfi,Temporary Researcher,DIMEC,5,"Leukemia, Gene","oncology,Non-invasive molecular signature for carotid artery disease in elderly patients "
Marco Viceconti,Full Professor,DIN,1,"Biomechanics, Orthopedic devices, Ageing",
Giorgio Davico,Temporary Researcher,DIN,5,"Ageing, Biomechanics",Heal-Italia
Luca Savelli ,Associate Professor,DIMEC,2,Sterility,
Julia Aleksandra Szyszko,PhD,DIN,7,Computer Methods and Programs in Biomedicine,
Riccardo Biondi,PhD,DIMEC,7,"ML for medical solutions, Data Science for Medical Solutions",
Piera Versura,Associate Professor,DIMEC,2,"Narrative medicine, Ophthalmology",Research Lab - Dimec
Chiara Coslovi,Collaborator,DIMEC,9,Ophthalmology,Research Lab - Dimec
Lorenzo Dall'Olio,Didactic Tutor,DIFA,8,"Cancer, AI",
Emanuela Marcelli,Associate Professor,DICAM,2,"Technologies in Healthcare, 3D Print, AI for Medical Devices",
Gloria Astolfi,PhD,DICAM,7,Ophthalmology,
Nicola Valsecchi,PhD,DICAM,7,Ophthalmology,
Sabrina Valente ,Associate Professor,DIMEC,2,Stem Cells,
Carmen Ciavarella ,Fixed-term researcher,DIMEC,5,cornea transplant,
Laura Cercenelli ,Contract Professor,DIBINEM,6,"bioengineering, 3D printing, augmented reality, virtual reality, surgical simulation, 3D modeling",
Antonella Carbonaro ,Associate Professor,DISI, 2, digital health,DARE - Digital Lifelong Prevention
Enrico Giampieri, Associate Professor, DIMEC,2, "Biomedical Database Management, Complex Societies",
Mariachiara Stellato ,PhD,DIFA,7,Data Science for Health Image,
Alice Lomonaco ,Fixed-Term Researcher,SDEI,5,Ageing, Age-It: Ageing Well in an Ageing Society - ALMA AGING 
Sara Maani, Research Fellow, SDEI, 4, Ageing, Age-It: Ageing Well in an Ageing Society - ALMA AGING
Lorenzo Chiari ,Full Professor,DEI,1,"Ageing,Machine Learning, Weareble Devices", DARE – Digital Lifelong Prevention
Laura Anderlucci ,Associate Professor,Stat,2,Alzheimer,
Marco Alberio ,Associate Professor,SDEI,2,"emigration, social innovation and territory, ageing",
Ylenia Caputo,Research Fellow,DAR,4,ageing,CELEBR-ETà
Stefano Salvioli, Associate Professor, DIMEC, 2, "Alzheimer, Longevity"
