Name,Gruppi di ricerca UNIBO,Departments,Network Node Width,Interests,Source,External Tags,External Units,General Administration
Elena Formia,"Advanced Design Unit (https://www.notion.so/Advanced-Design-Unit-1651396e9a058040b487e6ac75a3ddb2?pvs=21), DIG-UP  (https://www.notion.so/DIG-UP-1651396e9a05808fa8aec6d69e56ef50?pvs=21)",Architettura - DA (https://www.notion.so/Architettura-DA-a9af3bcdeef94da0b90c418671b5e117?pvs=21),4-FullProfessor,"Collaborative Design, Future Focused Thinking, Global Challenges, Knowledge Valorisation, Open Access, Responsible Innovation",https://www.unibo.it/sitoweb/elena.formia,,,
Valentina Gianfrate*,"Advanced Design Unit (https://www.notion.so/Advanced-Design-Unit-1651396e9a058040b487e6ac75a3ddb2?pvs=21), DIG-UP  (https://www.notion.so/DIG-UP-1651396e9a05808fa8aec6d69e56ef50?pvs=21)",Architettura - DA (https://www.notion.so/Architettura-DA-a9af3bcdeef94da0b90c418671b5e117?pvs=21),3-AssociateProfessor,"Cities Transformation, Citizen Science, Future Focused Thinking, Life-centered Design, Local Knowledge, Telemedicine",https://www.unibo.it/sitoweb/valentina.gianfrate/pubblicazioni,,,
Catia Prandi,DIG-UP  (https://www.notion.so/DIG-UP-1651396e9a05808fa8aec6d69e56ef50?pvs=21),Informatica - Scienza e Ingegneria - DISI (https://www.notion.so/Informatica-Scienza-e-Ingegneria-DISI-6a9f986e3620479d830bd6c625830936?pvs=21),3-AssociateProfessor,"Citizen Science, Hospitality Services, Urban Mobility",https://www.unibo.it/sitoweb/catia.prandi/pubblicazioni,,,
Matteo Gambini,DIG-UP  (https://www.notion.so/DIG-UP-1651396e9a05808fa8aec6d69e56ef50?pvs=21),Architettura - DA (https://www.notion.so/Architettura-DA-a9af3bcdeef94da0b90c418671b5e117?pvs=21),1-JuniorResearcher,"Gamification, Telemedicine",https://www.unibo.it/sitoweb/matteo.gambini4/pubblicazioni,,,
Samuele Bertani,DIG-UP  (https://www.notion.so/DIG-UP-1651396e9a05808fa8aec6d69e56ef50?pvs=21),Informatica - Scienza e Ingegneria - DISI (https://www.notion.so/Informatica-Scienza-e-Ingegneria-DISI-6a9f986e3620479d830bd6c625830936?pvs=21),"1-JuniorResearcher, former","Accessibility, Gamification, Visual Impairments",,Visual Facilitation,IndiciOpponibili (https://www.notion.so/IndiciOpponibili-16f1396e9a05809587c9dbe528e7d6aa?pvs=21),
Cristina Gentilini,,Architettura - DA (https://www.notion.so/Architettura-DA-a9af3bcdeef94da0b90c418671b5e117?pvs=21),"3-AssociateProfessor, Delegate",,https://www.unibo.it/sitoweb/cristina.gentilini/cv,,,"AFORM - Settore Accordi e mobilità Erasmus+ ""UE” (https://www.notion.so/AFORM-Settore-Accordi-e-mobilit-Erasmus-UE-16f1396e9a0580d4a8cfc1e051fd0d04?pvs=21)"
Stefania Rossi,,Architettura - DA (https://www.notion.so/Architettura-DA-a9af3bcdeef94da0b90c418671b5e117?pvs=21),,Wealth,,,,
Laura Succini,,,,"Future Focused Thinking, Sustainable Transition",,,,
Margherita Ascari,,,,"Libraries, Life-changing Design",,,,
Erik Ciravegna,,Architettura - DA (https://www.notion.so/Architettura-DA-a9af3bcdeef94da0b90c418671b5e117?pvs=21),1-JuniorResearcher,Design for Well-Being,,,,
,,,,,,,,
Riccardo Venanzi,SoBigData (https://www.notion.so/SoBigData-1771396e9a058021bb58d8c8d91b58a8?pvs=21),Informatica - Scienza e Ingegneria - DISI (https://www.notion.so/Informatica-Scienza-e-Ingegneria-DISI-6a9f986e3620479d830bd6c625830936?pvs=21),1-JuniorResearcher,Personalized medical services,https://www.unibo.it/sitoweb/riccardo.venanzi/pubblicazioni,,,
