Interest,Departments
3D Print,DICAM
AI for medical solutions,DIMEC
Ageing,DIN
Applied Sciences,DIFA
Avian pathology,DIMEVET
Avian vaccines,DIMEVET
Biomaterials for surgical wound healing,DIMEC
Biomechanics,DIN
C++,DIFA
Chemiometria,Chemistry Department
Classifier,DIFA
Colonies,Architecture Department
Commons,Architecture Department
Complex,DIFA
Computer Methods and Programs in Biomedicine,DIN
Culture economics,Architecture Department
DNA,DIFA
Data Processing,Chemistry Department
Data Science for Medical Solutions,DIMEC
Deep learning,DIFA
Detailed plan,Architecture Department
Enabling city,Architecture Department
Gene,DIMEC
Heritage Science,Chemistry Department
Imaging Iperspettrale,Chemistry Department
Immunology,DIMEVET
Immunosuppressive diseases of birds,DIMEVET
Immunosuppressive viral diseases,DIMEVET
Leukemia,DIMEC
Local government,Architecture Department
ML for medical solutions,DIMEC
Matlab,DIFA
Metropolitan city,Architecture Department
Migration,Architecture Department
Mobility,Architecture Department
Molecular biology,DIMEVET
Molecular diagnostics,DIMEVET
Molecular epidemiology,DIMEVET
Municipal urban planning,Architecture Department
NLP for medical solutions,DIFA
Narrative medicine,DIMEC
Network,DIFA
Neurodegenerative diseases,DIMEC
Neuroprotection mechanisms,DIMEC
Ophthalmology,"DICAM, DIMEC, DIMEX"
Optimization,DIFA
Orthopedic devices,DIN
Pipeline,DIFA
Protein,DIFA
Public space,Architecture Department
Python,DIFA
Recombinant vaccines,DIMEVET
Respiratory diseases of birds,DIMEVET
Respiratory viral diseases,DIMEVET
Social housing,Architecture Department
Sociology,DIFA
Spettroscopia,Chemistry Department
Sterility,DIMEC
Tourism,Architecture Department
Ukraine War,SPS
Urban agriculture,Architecture Department
Urban planning,Architecture Department
Urban politics,Architecture Department
Urban project,Architecture Department
Urban regeneration,Architecture Department
Urbanistics,Architecture Department
Viral neoplastic diseases of birds,DIMEVET
Virus bioinformatics,DIMEVET
WSI,DIFA
mRNA,DIFA
